number,name,region,latitude,longitude,company,start,end
A016,"Bald Mountain, Portneuf No 2",A-Basses-Terres (sols consolidés),46.682806,-71.921222,Robert McMaster & Sons,1957,1957
A017,"Bald Mountain, Sainte-Geneviève-de-Batiscan No 2",A-Basses-Terres (sols consolidés),46.518083,-72.345389,Antonio Dubé,1958,1958
A018,Bergeron,A-Basses-Terres (sols consolidés),46.283333,-72.470944,"",1889,1889
A019,Cadbury & Fry,A-Basses-Terres (sols consolidés),45.539194,-73.582083,"",1939,1939
A020,Canadian Natural Gas No 1,A-Basses-Terres (sols consolidés),45.720306,-72.955667,W.H. Lauffen,1910,1910
A021,Canadian Natural Gas No 2,A-Basses-Terres (sols consolidés),45.718917,-72.952889,Edmond Côté,1914,1914
A022,Canadian Natural Gas No 3,A-Basses-Terres (sols consolidés),45.70225,-72.935111,Edmond Côté,1914,1914
A023,Canadian Natural Gas No 4,A-Basses-Terres (sols consolidés),45.728639,-72.999194,Edmond Côté,1917,1917
A024,Canadian Natural Gas No 5,A-Basses-Terres (sols consolidés),45.716417,-72.957889,Edmond Côté,1914,1914
A025,"Canadian Seaboard, Saint-Grégoire No 1",A-Basses-Terres (sols consolidés),46.270306,-72.500667,Canadian Seabord Oil & Gas Ltd.,1934,1934
A026,"Canadian Seaboard, Saint-Gérard No 1",A-Basses-Terres (sols consolidés),45.995028,-72.822611,Drilling & Exploration Co.,1931,1933
A027,"Canadian Seaboard, Sainte-Angèle No 1",A-Basses-Terres (sols consolidés),46.318639,-72.485667,Alberta Gas and Fuel Co.,1933,1933
A028,"Canso Saint-Maurice, Saint-Léon No 1",A-Basses-Terres (sols consolidés),46.301694,-72.945389,Carroll Drilling Co. Ltd.,1957,1957
A029,"Caprive No 2, Trois-Rivières",A-Basses-Terres (sols consolidés),46.358361,-72.579833,Ranch Drilling Ltd,1959,1959
A030,"Caprive No 3, Trois-Rivières",A-Basses-Terres (sols consolidés),46.357806,-72.577333,Inspiration Mining and Development Co. Ltd.,1962,1962
A031,Cartier Natural Gas No 5,A-Basses-Terres (sols consolidés),45.942306,-73.249028,"",1934,1935
A032,"Cartier Natural Gas, Saint-Hubert No 1",A-Basses-Terres (sols consolidés),45.513083,-73.431806,Star Drilling Machine Co.,1934,1935
A033,Madeleine No 1,A-Basses-Terres (sols consolidés),46.375306,-72.500944,St. Lawrence Drilling Co.,1956,1956
A034,Madeleine No 2,A-Basses-Terres (sols consolidés),46.374472,-72.499278,St. Lawrence Drilling Co.,1956,1957
A035,"Laduboro Verchères Saint-Pierre No 3, Yamachiche",A-Basses-Terres (sols consolidés),46.283639,-72.825111,James Drilling Ltd,1961,1961
A036,Coupal No 1,A-Basses-Terres (sols consolidés),45.350833,-73.36675,Wilfrid Tremblay,1953,1954
A037,Nicolet No 1,A-Basses-Terres (sols consolidés),46.24425,-72.549278,Inspiration Mining and Development Co. Ltd.,1956,1956
A038,Eastern Canada No 1,A-Basses-Terres (sols consolidés),45.245583,-73.252917,Rawlings Drilling Co.,1954,1954
A039,Eastern Canada No 2,A-Basses-Terres (sols consolidés),45.16225,-73.329583,Rawlings Drilling Co.,1954,1955
A040,Eastern Canada No 3,A-Basses-Terres (sols consolidés),45.128639,-73.334306,Rawlings Drilling Co.,1954,1955
A041,Eastern Canada No 4,A-Basses-Terres (sols consolidés),45.27725,-73.184028,Rawlings Drilling Co.,1956,1957
A042,Eastern Canada No 5,A-Basses-Terres (sols consolidés),45.208917,-73.110139,Rawlings Drilling Co.,1956,1957
A043,"Eastern Canada Gas & Oil No 6, Saint-Blaise",A-Basses-Terres (sols consolidés),45.208639,-73.322639,Logan Brothers Diamond Drilling Ltd.,1958,1958
A044,"Eastern Canada Gas & Oil No 7, Saint-Jean",A-Basses-Terres (sols consolidés),45.268917,-73.25125,Logan Brothers Diamond Drilling Ltd.,1958,1958
A045,"Eastern Canada Gas & Oil No 9, Sainte-Anne-de-Sabrevois",A-Basses-Terres (sols consolidés),45.258361,-73.234583,Logan Brothers Diamond Drilling Ltd.,1958,1958
A046,Ferme expérimentale de l'Assomption,A-Basses-Terres (sols consolidés),45.811417,-73.430139,"",1929,1929
A047,Forest,A-Basses-Terres (sols consolidés),46.225306,-72.489,"",1885,1885
A048,Gélinas No 2,A-Basses-Terres (sols consolidés),46.358639,-72.470833,Germain Gélinas,1954,1955
A049,Gélinas No 3,A-Basses-Terres (sols consolidés),46.356444,-72.468361,Germain Gélinas,1955,1956
A050,Gélinas No 4,A-Basses-Terres (sols consolidés),46.356972,-72.469,Germain Gélinas,1962,1962
A051,Fortierville No 1,A-Basses-Terres (sols consolidés),46.483917,-71.981222,Connors Drilling Co.,1943,1943
A052,Goyette,A-Basses-Terres (sols consolidés),45.536694,-73.599583,"",1942,1942
A053,Lincoln No 1,A-Basses-Terres (sols consolidés),45.493083,-73.58375,"",1944,1945
A054,"Sweet Grass, Yamachiche No 4",A-Basses-Terres (sols consolidés),46.338639,-72.813722,Robert McMaster & Sons,1955,1955
A055,Guillemette,A-Basses-Terres (sols consolidés),46.225583,-72.487056,"",1873,1873
A056,Huttes militaires de Longueuil,A-Basses-Terres (sols consolidés),45.543917,-73.500139,Wallace Bell Company Ltd.,1911,1911
A057,"Quonto International No 1, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.645861,-73.659583,Logan Brothers Diamond Drilling Ltd.,1957,1958
A058,"Quonto International No 1, Mascouche",A-Basses-Terres (sols consolidés),45.743917,-73.584306,Logan Brothers Diamond Drilling Ltd.,1957,1958
A059,"Canso Intercity, Pointe-du-Lac No 1a",A-Basses-Terres (sols consolidés),46.288194,-72.683167,Ranch Drilling Ltd,1956,1956
A060,"Canso Saint-Maurice, Pointe-du-Lac No 1b",A-Basses-Terres (sols consolidés),46.288417,-72.683583,Carroll Drilling Co. Ltd.,1957,1957
A061,"Laduboro No 1, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.171139,-72.678167,Heath & Sherwood Drilling Ltd.,1958,1958
A062,"Laduboro No 2, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.170861,-72.677333,Heath & Sherwood Drilling Ltd.,1958,1958
A063,"Laduboro No 3, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.171444,-72.675861,Precision Drilling Corp.,1959,1959
A064,"Laduboro No 4, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.135306,-72.790111,Precision Drilling Corp.,1959,1959
A065,"Laduboro No 5, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.170583,-72.674722,Union Rotary Drillers Ltd.,1962,1963
A066,"Laduboro Seaway Almega No 5, Champlain",A-Basses-Terres (sols consolidés),46.43725,-72.395111,Walter Oes,1961,1961
A067,"Laduboro Seaway Almega No 6, Champlain",A-Basses-Terres (sols consolidés),46.46975,-72.344,James Drilling Ltd.,1961,1961
A068,Lounan No 1,A-Basses-Terres (sols consolidés),45.973083,-73.252028,St. Lambert Drilling Co.,1955,1956
A069,Impérial Lowlands No 1,A-Basses-Terres (sols consolidés),46.549194,-71.998722,Stubble & Stubble,1956,1956
A070,Impérial Lowlands No 2,A-Basses-Terres (sols consolidés),46.295028,-72.554556,Stubble & Stubble,1956,1957
A071,Impérial Lowlands No 3,A-Basses-Terres (sols consolidés),46.258361,-72.447333,Meier & Shaw,1956,1957
A072,"Impérial Lowlands No 4, Lotbinière",A-Basses-Terres (sols consolidés),46.616417,-71.867333,Meier & Shaw,1957,1957
A073,"Impérial Lowlands No 6, Nicolet",A-Basses-Terres (sols consolidés),46.115028,-72.503167,Union Rotary Drillers Ltd.,1957,1957
A074,"Impérial Lowlands Seaway No 1, Champlain",A-Basses-Terres (sols consolidés),46.436417,-72.405667,Robert McMaster & Sons,1959,1959
A075,"Impérial Lowlands, Verchères No 1",A-Basses-Terres (sols consolidés),45.738917,-73.368194,Meier & Shaw,1957,1957
A076,Lozo and Joseph No 1,A-Basses-Terres (sols consolidés),45.207528,-73.260694,T.E. Larocque,1953,1953
A077,Lozo and Joseph No 2,A-Basses-Terres (sols consolidés),45.197806,-73.267917,T.E. Larocque,1953,1953
A078,Maisonneuve,A-Basses-Terres (sols consolidés),45.559194,-73.527083,"",1886,1886
A079,Mallet No 1,A-Basses-Terres (sols consolidés),45.6695,-73.839444,Napoleon Morrissette Diamond Drilling,1937,1937
A080,Mohr No 1,A-Basses-Terres (sols consolidés),45.947806,-73.294861,"",1934,1934
A081,National Gas No 1,A-Basses-Terres (sols consolidés),45.700583,-72.976778,Capital Trust Co. (Mr. Tripplehorn),1914,1915
A082,National Gas No 2,A-Basses-Terres (sols consolidés),45.70475,-72.980667,Capital Trust Co. (Mr. Tripplehorn),1916,1916
A083,Collège de Nicolet,A-Basses-Terres (sols consolidés),46.229194,-72.615944,Collège de Nicolet,1885,1896
A084,Okalta Oilmont No 1,A-Basses-Terres (sols consolidés),45.683361,-73.566806,Ranch Drilling Ltd,1956,1957
A085,Okalta Oilmont No 2,A-Basses-Terres (sols consolidés),45.683639,-73.634583,Ranch Drilling Ltd,1956,1957
A086,Oil Selections No 2,A-Basses-Terres (sols consolidés),45.788361,-73.530972,Ranch Drilling Ltd,1956,1956
A087,Oil Selections No 5,A-Basses-Terres (sols consolidés),45.84225,-73.417083,Ranch Drilling Ltd,1956,1956
A088,Oil Selections No 6,A-Basses-Terres (sols consolidés),45.834472,-73.410139,Ranch Drilling Ltd,1956,1956
A089,Oil Selections No 7,A-Basses-Terres (sols consolidés),45.822028,-73.385583,Ranch Drilling Ltd,1956,1956
A090,Oil Selections No 8,A-Basses-Terres (sols consolidés),45.816389,-73.372056,Ranch Drilling Ltd,1956,1956
A091,Oil Selections No 9,A-Basses-Terres (sols consolidés),45.871694,-73.377361,Ranch Drilling Ltd,1956,1956
A092,Oil Selections No 11,A-Basses-Terres (sols consolidés),45.841972,-73.335694,Ranch Drilling Ltd,1956,1956
A093,Oil Selections No 18,A-Basses-Terres (sols consolidés),45.869472,-73.37375,Ranch Drilling Ltd,1956,1957
A094,Oil Selections No 20,A-Basses-Terres (sols consolidés),45.874472,-73.380139,Ranch Drilling Ltd,1956,1956
A095,Oil Selections No 21,A-Basses-Terres (sols consolidés),45.876417,-73.382917,St. Lambert Drilling Co.,1956,1956
A096,Oil Selections No 22,A-Basses-Terres (sols consolidés),45.877806,-73.384583,Ranch Drilling Ltd,1956,1956
A097,Oil Selections No 23,A-Basses-Terres (sols consolidés),45.878639,-73.373194,Ranch Drilling Ltd,1956,1957
A098,Oil Selections No 24,A-Basses-Terres (sols consolidés),45.876139,-73.369306,Ranch Drilling Ltd,1956,1956
A099,Oil Selections No 29,A-Basses-Terres (sols consolidés),45.881139,-73.376528,Ranch Drilling Ltd,1956,1956
A100,Oil Selections No 30,A-Basses-Terres (sols consolidés),45.885583,-73.375139,Ranch Drilling Ltd,1956,1957
A101,Oil Selections No 31,A-Basses-Terres (sols consolidés),45.890028,-73.368194,Ranch Drilling Ltd,1956,1957
A102,Oil Selections No 32,A-Basses-Terres (sols consolidés),45.882528,-73.370972,St. Lambert Drilling Co.,1956,1957
A103,Oil Selections No 33,A-Basses-Terres (sols consolidés),45.88225,-73.350417,Ranch Drilling Ltd,1957,1957
A104,Québec Fuel No 1,A-Basses-Terres (sols consolidés),46.01475,-72.916222,"",1908,1909
A105,Québec Fuel No 2,A-Basses-Terres (sols consolidés),45.874472,-73.188472,"",1909,1909
A106,Québec Fuel No 3,A-Basses-Terres (sols consolidés),45.797222,-73.325861,"",1909,1910
A107,Québec Fuel No 4,A-Basses-Terres (sols consolidés),45.772806,-73.36625,"",1910,1910
A108,Saint-Hyacinthe No 1,A-Basses-Terres (sols consolidés),45.725861,-73.040944,Rawlings Drilling Co.,1956,1957
A109,"Richelieu Gas, Saint-Denis No 2",A-Basses-Terres (sols consolidés),45.748083,-73.139028,The Hope Engineering Co.,1931,1932
A110,Saint-Élie-de-Caxton No 2,A-Basses-Terres (sols consolidés),46.488361,-72.950667,Edmond Côté,1940,1943
A111,"Saint-John Petroleum co., Saint-Hubert No 1",A-Basses-Terres (sols consolidés),45.513083,-73.431806,J.L. Ashton,1947,1949
A112,Saint-Lawrence River No 1,A-Basses-Terres (sols consolidés),45.273917,-74.017944,St. Lambert Drilling Co.,1955,1956
A113,Sainte-Madeleine No 1,A-Basses-Terres (sols consolidés),45.581972,-73.000417,"",1917,1917
A114,Saint-Philippe No 1,A-Basses-Terres (sols consolidés),45.793083,-73.60125,"",1933,1933
A115,Sainte-Rosalie No 1,A-Basses-Terres (sols consolidés),45.642528,-72.854556,Roméo Turcotte,1954,1955
A116,Sainte-Rosalie No 2,A-Basses-Terres (sols consolidés),45.643639,-72.859,Roméo Turcotte,1955,1956
A117,"Seaway Almega No 9, Saint-Maurice",A-Basses-Terres (sols consolidés),46.469194,-72.528722,Robert McMaster & Sons,1959,1959
A118,"Senneterre métal, Gélinas No 1, Sainte-Angèle",A-Basses-Terres (sols consolidés),46.357278,-72.466722,Antonio Dubé,1961,1961
A119,"Senneterre métal, Gélinas No 2, Sainte-Angèle",A-Basses-Terres (sols consolidés),46.356944,-72.469194,Samson & Frères Inc.,1961,1961
A120,Senigon No 1,A-Basses-Terres (sols consolidés),45.092528,-73.260694,Napoleon Morrissette Diamond Drilling,1942,1942
A121,South Shore No 1,A-Basses-Terres (sols consolidés),46.10975,-72.559278,"",1931,1932
A122,South Shore No 2,A-Basses-Terres (sols consolidés),46.110861,-72.564278,South Shore Oil Lands Ltd.,1932,1932
A123,Trudel,A-Basses-Terres (sols consolidés),46.21975,-72.509278,"",1885,1885
A124,Oka No 1,A-Basses-Terres (sols consolidés),45.525028,-74.141667,S. Groleau Bros. Ltd.,1954,1954
A125,"Laduboro C.I.G. No 1, Nicolet",A-Basses-Terres (sols consolidés),46.190972,-72.625972,Union Rotary Drillers Ltd.,1963,1963
A126,"Laduboro QIG et al No 1, Yamaska",A-Basses-Terres (sols consolidés),46.153917,-72.677389,Union Rotary Drillers Ltd.,1963,1964
A127,"Laduboro Bald Mountain Intercity No 1, Trois-Rivières",A-Basses-Terres (sols consolidés),46.344194,-72.587056,Samson & Frères Inc.,1964,1964
A128,"Laduboro Bald Mountain-Intercity No 2, Trois-Rivières",A-Basses-Terres (sols consolidés),46.335583,-72.610389,Big Indian Drilling Co.,1964,1964
A129,"Laduboro Bald Mountain-Intercity No 1, Pointe-du-Lac",A-Basses-Terres (sols consolidés),46.2895,-72.706444,Big Indian Drilling Co.,1964,1964
A130,"Laduboro Verchères Saint-Pierre No 22, Pointe-du-Lac",A-Basses-Terres (sols consolidés),46.306806,-72.699694,Big Indian Drilling Co. et Foragaz,1964,1964
A131,"Verchères No 1, Louiseville",A-Basses-Terres (sols consolidés),46.245,-72.962833,Samson & Frères Inc.,1964,1964
A132,"Québec Natural Gas No 2, Saint-François-de-Sales",A-Basses-Terres (sols consolidés),45.662806,-73.692917,Canadian LongYear Ltd.,1964,1964
A133,Gélinas No 5,A-Basses-Terres (sols consolidés),46.356944,-72.469306,St. Lawrence Drilling Co.,1963,1963
A134,"Québec Natural Gas No 10, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.661694,-73.641528,James Drilling Ltd.,1965,1965
A135,"Québec Natural Gas No 11, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.642806,-73.66875,James Drilling Ltd.,1965,1965
A136,"Québec Natural Gas No 12, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.647806,-73.652083,Inspiration Mining and Development Co. Ltd.,1965,1965
A137,"Québec Natural Gas No 13, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.653639,-73.649583,Canadian LongYear Ltd.,1965,1965
A138,"Québec Natural Gas No 14, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.652806,-73.630139,Canadian LongYear Ltd.,1965,1965
A139,"Québec Natural Gas No 9, Saint-François-de-Sales",A-Basses-Terres (sols consolidés),45.665028,-73.655417,Canadian LongYear Ltd.,1965,1965
A140,"Québec Natural Gas No 10, Saint-François-de-Sales",A-Basses-Terres (sols consolidés),45.668361,-73.639028,Canadian LongYear Ltd.,1965,1965
A141,"Québec Natural Gas No 1, L'Épiphanie",A-Basses-Terres (sols consolidés),45.848639,-73.50375,Inspiration Mining and Development Co. Ltd.,1965,1965
A142,"Québec Natural Gas No 2, L'Épiphanie",A-Basses-Terres (sols consolidés),45.838917,-73.493472,Inspiration Mining and Development Co. Ltd.,1965,1965
A143,"Senneterre No 2, Saint-Grégoire",A-Basses-Terres (sols consolidés),46.225306,-72.507611,Sixty-Five Development Ltd.,1965,1965
A144,"Louvicourt No 5, L'Assomption",A-Basses-Terres (sols consolidés),45.88475,-73.375139,Sixty-Five Development Ltd.,1965,1965
A145,"Louvicourt No 7, L'Assomption",A-Basses-Terres (sols consolidés),45.880028,-73.37875,Sixty-Five Development Ltd.,1965,1966
A146,"Québec Natural Gas No 1, Saint-Gérard-Magella",A-Basses-Terres (sols consolidés),45.915028,-73.457361,Canadian LongYear Ltd.,1966,1966
A147,"Québec Natural Gas No 2, Saint-Gérard-Magella",A-Basses-Terres (sols consolidés),45.909194,-73.449028,Canadian LongYear Ltd.,1966,1966
A148,"Québec Natural Gas No 3, Saint-Gérard-Magella",A-Basses-Terres (sols consolidés),45.902528,-73.440417,Canadian LongYear Ltd.,1966,1966
A149,"Québec Natural Gas No 15, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.661139,-73.642361,McMaster Drilling Ltd.,1966,1966
A150,"Québec Natural Gas No 16, Saint-Vincent-de-Paul",A-Basses-Terres (sols consolidés),45.660861,-73.644028,McMaster Drilling Ltd.,1966,1966
A151,Louvicourt - Métal l'Assomption No 8,A-Basses-Terres (sols consolidés),45.879472,-73.37875,McMaster Drilling Ltd.,1966,1966
A152,"Shell, Saint-Simon No 1",A-Basses-Terres (sols consolidés),45.720556,-72.802028,Peter Bawden Drilling Services Ltd.,1968,1969
A152-R1,"Shell, Saint-Simon No 1",A-Basses-Terres (sols consolidés),45.720556,-72.802028,Foragaz Inc.,2005,2005
A153,"Laduboro No 6, La Baie Yamaska",A-Basses-Terres (sols consolidés),46.121694,-72.733167,Canadian Eastern Oil & Gas Drilling Ltd.,1969,1969
A154,Salem No 1,A-Basses-Terres (sols consolidés),45.058944,-74.43075,"",1967,1967
A155,"Morin & Grad, Yamachiche No 1",A-Basses-Terres (sols consolidés),46.25725,-72.869833,Samson & Frères Inc.,1970,1970
A156,"Husky, Gentilly No 1",A-Basses-Terres (sols consolidés),46.356306,-72.279028,Garnett Drilling Ltd.,1970,1971
A157,"Canac B.P. Sisque, Brossard No 1",A-Basses-Terres (sols consolidés),45.444444,-73.490583,Brinkerhoff Drilling Ltd.,1971,1971
A158,Husky Bruyères No 1,A-Basses-Terres (sols consolidés),46.322806,-72.497,Garnett Drilling Ltd.,1971,1971
A158-R1,Husky Bruyères No 1,A-Basses-Terres (sols consolidés),46.322806,-72.497,Foragaz Inc.,2002,2002
A159,"SOQUIP Laduboro, Baieville No 1",A-Basses-Terres (sols consolidés),46.128639,-72.754,Underwater Gas Developers Ltd.,1971,1971
A160,"CPOG SOQUIP Sisque, Île d'Orléans No 1",A-Basses-Terres (sols consolidés),46.97475,-70.923139,Garnett Drilling Ltd.,1971,1971
A161,"Shell, Sainte-Françoise-Romaine No 1",A-Basses-Terres (sols consolidés),46.473639,-71.915389,Regent Drilling Ltd.,1971,1972
A162,"Sarep Laduboro, Saint-Ours No 1",A-Basses-Terres (sols consolidés),45.879194,-73.09125,Garnet Drilling Ltd,1972,1972
A163,"Shell, Wickham No 1",A-Basses-Terres (sols consolidés),45.804667,-72.429778,Thomson Drilling Ltd.,1972,1972
A164,"Shell, Saint-Flavien No 1",A-Basses-Terres (sols consolidés),46.510611,-71.568333,Regent Drilling Ltd.,1972,1972
A164-R1,"Shell, Saint-Flavien No 1",A-Basses-Terres (sols consolidés),46.510611,-71.568333,Beta Well Service Inc.,1975,1975
A165,"C.S. SOQUIP Laduboro, Nicolet No 1 et No 1a",A-Basses-Terres (sols consolidés),46.178361,-72.627611,Garnett Drilling Ltd.,1972,1973
A166,"Shell, Saint-Armand ouest No 1",A-Basses-Terres (sols consolidés),45.066694,-73.06625,Thomson Drilling Ltd.,1972,1973
A167,"SOQUIP Shell, Sainte-Croix No 1",A-Basses-Terres (sols consolidés),46.621556,-71.704028,Regent Drilling Ltd.,1973,1973
A168,"SOQUIP Shell, Villeroy No 1",A-Basses-Terres (sols consolidés),46.465306,-71.901222,Regent Drilling Ltd.,1972,1973
A169,"SOQUIP Shell, Saint-Flavien No 1",A-Basses-Terres (sols consolidés),46.490167,-71.604806,Regent Drilling Ltd.,1974,1974
A170,"C.S. SOQUIP, Yamachiche No 1",A-Basses-Terres (sols consolidés),46.291028,-72.90225,Brinkerhoff Drilling Ltd.,1974,1974
A171,"SOQUIP et al., Val-Alain No 1",A-Basses-Terres (sols consolidés),46.437806,-71.697222,Regent Drilling Ltd.,1974,1974
A172,"C.S. SOQUIP S.W., Maskinongé No 1",A-Basses-Terres (sols consolidés),46.182083,-73.041778,Brinkerhoff Drilling Ltd.,1974,1974
A173,"SOQUIP et al., Villeroy No 2",A-Basses-Terres (sols consolidés),46.496389,-71.856167,Regent Drilling Ltd.,1974,1975
A174,"SOQUIP et al., Île d'Orléans No 2",A-Basses-Terres (sols consolidés),47.001056,-70.889333,Regent Drilling Ltd.,1975,1975
A175,"SOQUIP et al., Les Saules No 1",A-Basses-Terres (sols consolidés),46.818083,-71.335361,Regent Drilling Ltd.,1975,1975
A176,"SOQUIP et al., Ancienne-Lorette No 1",A-Basses-Terres (sols consolidés),46.782972,-71.397361,Regent Drilling Ltd.,1975,1975
A177,"SOQUIP et al., Saint-Flavien No 2",A-Basses-Terres (sols consolidés),46.510611,-71.546167,Regent Drilling Ltd.,1975,1976
A178,"SOQUIP et al., Saint-Flavien No 3",A-Basses-Terres (sols consolidés),46.505972,-71.582278,Regent Drilling Ltd.,1976,1976
A179,"SOQUIP et al., Saint-Hugues No 1",A-Basses-Terres (sols consolidés),45.759917,-72.803361,Regent Drilling Ltd.,1976,1976
A180,"SOQUIP et al., Saint-Flavien No 4",A-Basses-Terres (sols consolidés),46.495167,-71.566306,Regent Drilling Ltd.,1976,1977
A181,"SOQUIP et al., Sainte-Hélène No 1",A-Basses-Terres (sols consolidés),45.736722,-72.772972,Regent Drilling Ltd.,1977,1977
A182,"SOQUIP et al., Saint-Flavien No 5",A-Basses-Terres (sols consolidés),46.51075,-71.600861,Regent Drilling Ltd.,1977,1977
A183,"SOQUIP et al., Saint-Flavien No 6",A-Basses-Terres (sols consolidés),46.514111,-71.579167,Regent Drilling Ltd.,1977,1977
A184,"SOQUIP et al., Lyster No 1",A-Basses-Terres (sols consolidés),46.401139,-71.662861,Regent Drilling Ltd.,1977,1977
A185,"SOQUIP Dome et al., Notre-Dame-du-Bon-Conseil No 1",A-Basses-Terres (sols consolidés),46.011417,-72.338444,Regent Drilling Ltd.,1977,1978
A186,"SOQUIP, Nicolet No 1",A-Basses-Terres (sols consolidés),46.185028,-72.644,Regent Drilling Ltd.,1977,1978
A187,"SOQUIP et al., Du Chêne No 1 (Villeroy)",A-Basses-Terres (sols consolidés),46.423083,-71.840667,Regent Drilling Ltd.,1978,1978
A188,"SOQUIP, Nicolet No 2",A-Basses-Terres (sols consolidés),46.208639,-72.609278,Regent Drilling Ltd.,1978,1978
A189,"SOQUIP, Saint-Thomas-d'Aquin No 1",A-Basses-Terres (sols consolidés),45.698167,-72.984806,Regent Drilling Ltd.,1978,1978
A190,"SOQUIP, Sainte-Françoise-Romaine No 1",A-Basses-Terres (sols consolidés),46.451139,-71.914556,Regent Drilling Ltd.,1979,1979
A191,"SOQUIP, Saint-Janvier-de-Joly No 1",A-Basses-Terres (sols consolidés),46.466167,-71.627417,Regent Drilling Ltd.,1979,1979
A192,"SOQUIP, Sainte-Croix No 1 Lotbinière",A-Basses-Terres (sols consolidés),46.62725,-71.767056,Regent Drilling Ltd.,1979,1979
A193,"SOQUIP, Saint-Janvier-de-Joly No 2",A-Basses-Terres (sols consolidés),46.49475,-71.615083,Regent Drilling Ltd.,1979,1979
A194,"SOQUIP, Pintendre No 1 Lévis",A-Basses-Terres (sols consolidés),46.78025,-71.108083,Regent Drilling Ltd.,1979,1980
A195,"SOQUIP Pétrofina, Saint-Louis-de-Blandford No 1",A-Basses-Terres (sols consolidés),46.277278,-72.037111,Regent Drilling Ltd.,1980,1980
A196,"SOQUIP Pétrofina, Bécancour No 1",A-Basses-Terres (sols consolidés),46.366556,-72.41125,Regent Drilling Ltd.,1980,1981
A196-R1,"SOQUIP Pétrofina, Bécancour No 1",A-Basses-Terres (sols consolidés),46.366556,-72.41125,Foragaz Inc.,1998,1998
A197,"Texaco SOQUIP, Baieville No 1 Yamaska",A-Basses-Terres (sols consolidés),46.181361,-72.671389,Regent Drilling Ltd.,1981,1981
A198,"SOQUIP Pétrofina, Bécancour No 2",A-Basses-Terres (sols consolidés),46.389167,-72.388861,Regent Drilling Ltd.,1981,1981
A198-R1,"SOQUIP Pétrofina, Bécancour No 2",A-Basses-Terres (sols consolidés),46.389167,-72.388861,Foragaz Inc.,1999,1999
A199,"Texaco, Yamaska-Est No 1",A-Basses-Terres (sols consolidés),46.043917,-72.929,Regent Drilling Ltd.,1981,1981
A200,"SOQUIP, Saint-Flavien No 7",A-Basses-Terres (sols consolidés),46.507806,-71.576917,Regent Drilling Ltd.,1984,1984
